,hid_dim,final_dim,num_layers,num_epochs,lr,test_loss,preds
68,75,20,5,40,1e-05,13.395284423828125,"[74.80873805185159, 74.26075831552346, 74.75946894784768, 74.51738062997659, 74.3437877446413, 74.10442108611265, 75.17110809783141, 74.63826304574808, 74.79438868661721, 74.87847682138285]"
69,75,20,5,50,1e-06,6.868309478759766,"[80.04666010538737, 79.46494903564454, 79.8984868367513, 79.75067927042643, 79.49017664591472, 79.31037775675456, 80.37138392130534, 79.89815521240234, 80.03996404012044, 80.11720479329428]"
70,75,20,5,50,5e-06,6.259313608805339,"[81.9349578857422, 81.34976654052734, 81.74745661417643, 81.65207316080729, 81.36447448730469, 81.20703481038412, 82.26152648925782, 81.82591094970704, 81.96686325073242, 82.04127095540365]"
71,75,20,5,50,1e-05,13.638535029093426,"[74.34443230181932, 73.80821480304003, 74.2157635803024, 74.06982343544563, 73.83967435707649, 73.65755130002896, 74.64273094683885, 74.19877876788378, 74.33737180580695, 74.41198321531216]"
72,75,20,6,30,1e-06,7.534940083821615,"[79.26717936197916, 78.70131378173828, 79.15577112833658, 78.9828509012858, 78.75961227416992, 78.54569651285807, 79.60985005696615, 79.12727813720703, 79.27798360188802, 79.36366704305013]"
73,75,20,6,30,5e-06,6.620583852132161,"[80.7505610148112, 80.16908823649088, 80.56864751180014, 80.46344502766927, 80.17853724161783, 80.0206693013509, 81.0677879333496, 80.62565587361654, 80.76505584716797, 80.83381983439128]"
74,75,20,6,30,1e-05,8.39355094909668,"[79.8114232381185, 79.23220647176107, 79.69634221394857, 79.5157356262207, 79.28488108317057, 79.07813949584961, 80.16531677246094, 79.66189448038737, 79.81544876098633, 79.89520594278972]"
75,75,20,6,40,1e-06,6.783402659098308,"[80.14017232259114, 79.55847676595052, 80.07426528930664, 79.82674051920573, 79.62208989461263, 79.36962127685547, 80.4824338277181, 79.93652928670248, 80.09599075317382, 80.18303298950195]"
76,75,20,6,40,5e-06,6.427174911499024,"[81.26657613118489, 80.68093922932943, 81.15965398152669, 80.9633544921875, 80.72680435180663, 80.50662765502929, 81.60672098795573, 81.09785537719726, 81.24931386311849, 81.33004328409831]"
77,75,20,6,40,1e-05,8.160075759887697,"[79.58081130981445, 79.00478668212891, 79.47052256266277, 79.28290456136068, 79.05626475016275, 78.84263407389322, 79.91944834391276, 79.41964670817057, 79.57180353800456, 79.65715459187825]"
78,75,20,6,50,1e-06,6.996105092366535,"[79.84767252604166, 79.28441467285157, 79.67561238606771, 79.5724967956543, 79.29367218017578, 79.12951787312825, 80.14042536417644, 79.72587178548177, 79.86032409667969, 79.93797276814779]"
79,75,20,6,50,5e-06,7.325536855061849,"[79.78784993489583, 79.20979487101236, 79.70006612141927, 79.48284378051758, 79.26573435465495, 79.03320388793945, 80.12769521077475, 79.60592371622721, 79.76034901936849, 79.84448496500652]"
80,75,20,6,50,1e-05,7.9165400441487614,"[79.85904337565104, 79.2834093729655, 79.70833333333333, 79.57571461995443, 79.32008107503255, 79.14319152832032, 80.20598932902018, 79.74035263061523, 79.8869125366211, 79.96038258870443]"
81,75,30,4,30,1e-06,7.242365570068359,"[80.02327829996744, 79.45613428751628, 79.94165522257487, 79.7325325012207, 79.53044204711914, 79.28633270263671, 80.36874211629232, 79.86253128051757, 80.0183822631836, 80.12042236328125]"
82,75,30,4,30,5e-06,9.338857777913413,"[78.95246302286783, 78.39180119832356, 78.7746467590332, 78.67447764078776, 78.38900553385416, 78.22755966186523, 79.22703145345052, 78.81550547281901, 78.9450185139974, 79.01233215332032]"
83,75,30,4,30,1e-05,,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
