,hid_dim,final_dim,num_layers,num_epochs,lr,test_loss,preds
68,50.0,10.0,4.0,50.0,1e-05,14.963134002685546,"[71.696044921875, 71.15113067626953, 71.60000610351562, 71.40133666992188, 71.19420623779297, 71.02558135986328, 72.04853820800781, 71.54751586914062, 71.69052124023438, 71.76386260986328]"
69,50.0,10.0,4.0,50.0,5e-05,,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
70,50.0,10.0,4.0,60.0,5e-07,10.270655822753906,"[76.3599624633789, 75.79866790771484, 76.39769744873047, 76.06050872802734, 75.9668197631836, 75.6458740234375, 76.81632995605469, 76.17378234863281, 76.36487579345703, 76.4590072631836]"
71,50.0,10.0,4.0,60.0,1e-06,7.427825164794922,"[79.31257629394531, 78.67613983154297, 78.50248718261719, 79.08162689208984, 78.3040771484375, 78.72308349609375, 79.4986801147461, 79.46949005126953, 79.51519775390625, 79.38847351074219]"
72,50.0,10.0,4.0,60.0,5e-06,14.578742218017577,"[72.10579681396484, 71.59818267822266, 72.04346466064453, 71.8317642211914, 71.6407470703125, 71.38960266113281, 72.34210205078125, 71.88872528076172, 72.0221176147461, 72.10015869140625]"
73,50.0,10.0,4.0,60.0,1e-05,86.65493240356446,"[-0.17992402613162994, -0.17992402613162994, -0.17992402613162994, -0.17992402613162994, -0.17992402613162994, -0.17992402613162994, -0.17992402613162994, -0.17992402613162994, -0.17992402613162994, -0.17992402613162994]"
74,50.0,10.0,4.0,60.0,5e-05,,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
75,50.0,10.0,5.0,20.0,5e-07,8.04608154296875,"[78.7423095703125, 78.2082748413086, 78.46418762207031, 78.45952606201172, 78.02781677246094, 77.92774963378906, 78.7600326538086, 78.51708221435547, 78.57740020751953, 78.60488891601562]"
76,50.0,10.0,5.0,20.0,1e-06,3.627973937988281,"[84.75355529785156, 84.22705078125, 84.55979919433594, 84.47067260742188, 84.15077209472656, 83.89370727539062, 84.7079849243164, 84.46012878417969, 84.54660034179688, 84.69087219238281]"
77,50.0,10.0,5.0,20.0,5e-06,3.38365478515625,"[85.85641479492188, 85.2586898803711, 85.50598907470703, 85.58063507080078, 85.13784790039062, 85.10496520996094, 86.05877685546875, 85.78743743896484, 85.88246154785156, 85.93779754638672]"
78,50.0,10.0,5.0,20.0,1e-05,4.586117553710937,"[91.14126586914062, 90.46172332763672, 91.2262954711914, 90.72260284423828, 90.60186767578125, 90.15728759765625, 91.53294372558594, 90.73542785644531, 90.9445571899414, 91.06560516357422]"
79,50.0,10.0,5.0,20.0,5e-05,86.53774490356446,"[-0.06273932754993439, -0.06273932754993439, -0.06273932754993439, -0.06273932754993439, -0.06273932754993439, -0.06273932754993439, -0.06273932754993439, -0.06273932754993439, -0.06273932754993439, -0.06273932754993439]"
80,50.0,10.0,5.0,30.0,5e-07,7.391665649414063,"[79.35179901123047, 78.84953308105469, 78.6260757446289, 79.19092559814453, 78.47679901123047, 78.74960327148438, 79.2464370727539, 79.43905639648438, 79.44718933105469, 79.45600891113281]"
81,50.0,10.0,5.0,30.0,1e-06,3.990717315673828,"[83.79574584960938, 83.15254974365234, 83.95130920410156, 83.4135971069336, 83.4022445678711, 82.95587158203125, 84.34027862548828, 83.48883056640625, 83.72599792480469, 83.86907958984375]"
82,50.0,10.0,5.0,30.0,5e-06,86.19333114624024,"[0.2816767990589142, 0.2816767990589142, 0.2816767990589142, 0.2816767990589142, 0.2816767990589142, 0.2816767990589142, 0.2816767990589142, 0.2816767990589142, 0.2816767990589142, 0.2816767990589142]"
83,50.0,10.0,5.0,30.0,1e-05,86.13146438598633,"[0.3435414731502533, 0.3435414731502533, 0.3435414731502533, 0.3435414731502533, 0.3435414731502533, 0.3435414731502533, 0.3435414731502533, 0.3435414731502533, 0.3435414731502533, 0.3435414731502533]"
84,50.0,10.0,5.0,30.0,5e-05,86.43418350219727,"[0.040825095027685165, 0.040825095027685165, 0.040825095027685165, 0.040825095027685165, 0.040825095027685165, 0.040825095027685165, 0.040825095027685165, 0.040825095027685165, 0.040825095027685165, 0.040825095027685165]"
85,50.0,10.0,5.0,40.0,5e-07,9.92057113647461,"[76.76750183105469, 76.15662384033203, 76.8834457397461, 76.42333221435547, 76.28369140625, 75.95841979980469, 77.27708435058594, 76.38350677490234, 76.61192321777344, 76.79884338378906]"
86,50.0,10.0,5.0,40.0,1e-06,8.344344329833984,"[78.29983520507812, 77.7237548828125, 78.08679962158203, 78.0296630859375, 77.7143325805664, 77.64106750488281, 78.70398712158203, 78.26446533203125, 78.40637969970703, 78.43635559082031]"
87,50.0,10.0,5.0,40.0,5e-06,12.775468444824218,"[73.88054656982422, 73.31668090820312, 73.55278015136719, 73.62638854980469, 73.25048065185547, 73.27579498291016, 74.21340942382812, 73.87694549560547, 73.99353790283203, 74.00883483886719]"
